# gunzip -c exp/mono_ali/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py data/lang 
# Started at Tue Jun 18 17:07:32 IST 2019
#
At utterance begin, SIL accounts for 99.1% of phone occurrences, with duration (median, mean, 95-percentile) is (42,44.1,77) frames.
At utterance begin, oov_S accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (41,47.8,51) frames.
At utterance end, SIL accounts for 99.7% of phone occurrences, with duration (median, mean, 95-percentile) is (42,44.7,78) frames.
Overall, nonsilence accounts for 77.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,16) frames.
Overall, oov_S accounts for 13.9% of phone occurrences, with duration (median, mean, 95-percentile) is (41,42.4,73) frames.
Overall, SIL accounts for 8.6% of phone occurrences, with duration (median, mean, 95-percentile) is (35,35.6,71) frames.
Overall, K_B accounts for 5.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.8,14) frames.
Overall, A_I accounts for 5.6% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.9,6) frames.
Overall, A_Y_E accounts for 4.0% of phone occurrences, with duration (median, mean, 95-percentile) is (7,8.7,21) frames.
Overall, A_A_I accounts for 3.5% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.7,15) frames.
Overall, R_E accounts for 3.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.7,12) frames.
Overall, II_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.7,19) frames.
Overall, A_A_E accounts for 2.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.9,17) frames.
Overall, I_I accounts for 2.3% of phone occurrences, with duration (median, mean, 95-percentile) is (4,4.4,9) frames.
Overall, M_B accounts for 2.2% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,13) frames.
Overall, R_I accounts for 1.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.5,9) frames.
Overall, H_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,11.5,24) frames.
Overall, S_B accounts for 1.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,12.3,16) frames.
Overall, AE_E accounts for 1.7% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,15) frames.
Overall, II_N_E accounts for 1.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,11.2,20) frames.
Overall, U_I accounts for 1.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.3,8) frames.
Overall, N_I accounts for 1.4% of phone occurrences, with duration (median, mean, 95-percentile) is (7,6.8,11) frames.
Overall, L_I accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,11) frames.
Overall, O_B accounts for 1.3% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.4,24) frames.
Overall, H_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.6,12) frames.
Overall, II_I accounts for 1.2% of phone occurrences, with duration (median, mean, 95-percentile) is (11,10.8,17) frames.
Overall, O_O_E accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (9,10.0,20) frames.
Overall, J_I accounts for 1.1% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.7,14) frames.
Overall, N_B accounts for 1.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.9,13) frames.
Overall, B_B accounts for 0.9% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.7,13) frames.
Overall, P_B accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.5,15) frames.
Overall, S_I accounts for 0.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,11.4,15) frames.
Overall, U_U_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,10.8,17) frames.
Overall, T_D_B accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.0,11) frames.
Overall, T_D_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.3,13) frames.
Overall, M_I accounts for 0.7% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.1,12) frames.
Overall, G_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,7.8,11) frames.
Overall, A_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.4,15) frames.
Overall, N_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,9.3,14) frames.
Overall, D_D_B accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.4,12) frames.
Overall, A_Y_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.8,13) frames.
Overall, D_D_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.5,12) frames.
Overall, T_D_E accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (9,8.4,13) frames.
Overall, Z_I accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (10,9.4,13) frames.
Overall, R_B accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (7,7.2,12) frames.
Overall, V_I accounts for 0.5% of phone occurrences, with duration (median, mean, 95-percentile) is (8,8.3,15) frames.
The optional-silence phone SIL occupies 19.7% of frames overall 
Limiting the stats to the 85.3% of frames not covered by an utterance-[begin/end] phone, optional-silence SIL occupies 5.9% of frames.
Assuming 100 frames per second, the alignments represent 1.1 hours of data, or 0.9 hours if SIL frames are excluded.
